Country Name,GDP (Billions)
Switzerland,694
Iceland,18
Denmark,303
Norway,388
Canada,1557
Finland,235
Netherlands,766
Sweden,505
New Zealand,178
Australia,1351
Israel,303
Costa Rica,564
Austria,382
Mexico,1213
United States,18295
Brazil,1802
Luxembourg,60
Ireland,292
Belgium,462
United Arab Emirates,370
United Kingdom,2928
Oman,78
Venezuela,125
Singapore,308
Panama,54
Germany,3358
Chile,242
Qatar,162
France,2439
Argentina,595
Czech Republic,188
Uruguay,58
Colombia,293
Saudi Arabia,669
Thailand,401
Spain,1196
Malta,11
Taiwan,481
Kuwait,115
Suriname,5
Trinidad,27
El Salvador,23
Guatemala,62
Uzbekistan,86
Slovakia,89
Japan,4445
South Korea,1446
Ecuador,97
Italy,1837
Bahrain,33
