Country (Happiness Rank),Happiness Score
Switzerland (1),7.587
Iceland (2),7.561
Denmark (3),7.527
Norway (4),7.522
Canada (5),7.427
Finland (6),7.406
Netherlands (7),7.378
Sweden (8),7.364
New Zealand (9),7.286
Australia (10),7.284
Israel (11),7.278
Costa Rica (12),7.226
Austria (13),7.2
Mexico (14),7.187
United States (15),7.119
Brazil (16),6.983
Luxembourg (17),6.946
Ireland (18),6.94
Belgium (19),6.937
United Arab Emirates (20),6.901
United Kingdom (21),6.867
Oman (22),6.853
Venezuela (23),6.81
Singapore (24),6.798
Panama (25),6.786
Germany (26),6.75
Chile(27),6.67
Qatar (28),6.611
France (29),6.575
Argentina (30),6.574
Czech Republic (31),6.505
Uruguay (32),6.485
Colombia (33),6.477
Saudi Arabia (35),6.411
Thailand (34),6.455
Spain (36),6.329
Malta (37),6.302
Taiwan (38),6.298
Kuwait (39),6.295
Suriname (40),6.269
Trinidad (41),6.168
El Salvador (42),6.13
Guatemala (43),6.123
Uzbekistan (44),6.003
Slovakia (45),5.995
Japan (46),5.987
South Korea (47),5.984
Ecuador (48),5.975
Italy (49),5.948
Bahrain (50),5.96
